id	name	snippet	url
746773	Koubri	Station; 550 BC - 330 BC	http://pleiades.stoa.org/places/746773
746778	Marah	Station; AD 300 - AD 640	http://pleiades.stoa.org/places/746778
746780	el-Ma'yen	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746780
746786	Naqb Jedid	Station; 330 BC - AD 300	http://pleiades.stoa.org/places/746786
746788	Nuweiba	Settlement; 30 BC - AD 300	http://pleiades.stoa.org/places/746788
746792	Pharan	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/746792
746800	*Qubba	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746800
746804	Ras Abu el Daraq	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746804
746805	Rephidim	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746805
746806	Rhaithou	Settlement; 330 BC - AD 300	http://pleiades.stoa.org/places/746806
746811	Serabit el-Khadim	Mine; 750 BC - AD 300	http://pleiades.stoa.org/places/746811
746812	Sigillyah	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746812
746813	Sinai	Peninsula, Region; AD 1700 - AD 2100	http://pleiades.stoa.org/places/746813
746819	Tell el-Mashraba	Settlement; 30 BC - AD 300	http://pleiades.stoa.org/places/746819
746820	Tell el-Raya	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/746820
746821	Tell Mahrad	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/746821
746824	Tholas	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746824
746826	Tou Batou	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/746826
746833	Wadi Haggag	Station; AD 300 - AD 640	http://pleiades.stoa.org/places/746833
746834	Wadi Mukkatab	Station; 330 BC - AD 640	http://pleiades.stoa.org/places/746834
746836	Wadi Nasb	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/746836
746839	Wadi Tuweiba	Station; 30 BC - AD 300	http://pleiades.stoa.org/places/746839
746840	Wadi Umm Zerdal	Mine; 30 BC - AD 640	http://pleiades.stoa.org/places/746840
750429666	Tineida	Settlement	http://pleiades.stoa.org/places/750429666
756300531	Gebel el-Muzawaka	Cemetery; 330 BC - AD 640	http://pleiades.stoa.org/places/756300531
756512	Abydos/Ebot	Sanctuary, Settlement, Cemetery, Temple-2; 4500 BC - AD 640	http://pleiades.stoa.org/places/756512
756515	Antaiopolis/Tkoou	Settlement; 330 BC - AD 640	http://pleiades.stoa.org/places/756515
756518	Antinoopolis	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/756518
756519	Apa Abraham, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756519
756520	Apa Apollo, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756520
756521	Apa Apollo, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756521
756522	Apa Apollo, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756522
756523	Apa Bane, Mon.	Church; AD 300 - AD 2100	http://pleiades.stoa.org/places/756523
756524	Apa Djoore, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756524
756525	Apa Ioannes, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756525
756526	Apa Makrobios, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756526
756527	Apa Palemon, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756527
756528	Apa Psoi, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756528
756529	Apa Psote, Mon./Amba Bisada	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756529
756530	Apa Senouthou, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756530
756531	Apa Souroutos, Mon.	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756531
756532	Aphroditopolis/Aphrodito	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/756532
756534	Apollonopolis Heptakomias Mikra/Sbeht	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/756534
756536	Apotheke	Settlement; AD 300 - AD 2100	http://pleiades.stoa.org/places/756536
756538	Athribis/Triph(i)eion	Settlement; 330 BC - AD 2100	http://pleiades.stoa.org/places/756538
756540	Bau/Pboou	Church; AD 300 - AD 640	http://pleiades.stoa.org/places/756540
756541	Bergoout	Settlement; AD 300 - AD 640	http://pleiades.stoa.org/places/756541
756542	Bompae	Settlement; 30 BC - AD 640	http://pleiades.stoa.org/places/756542
